edge_id,source_node,target_node,edge_type,weight,distance_pixels,phase_difference_rad,time_difference_sec
G00292,N0115,N0122,SPATIAL,0.218963593244553,2,0,1.51860288534548
G00293,N0116,N0119,SPATIAL,0.468448579311371,9.05538513813742,0.0565485917031765,0.752467729688686
G00294,N0116,N0112,SPATIAL,0.460068851709366,11.0453610171873,0.0691149234771729,0.767653758542139
G00295,N0116,N0108,SPATIAL,0.215269237756729,11.1803398874989,0.0691149234771729,1.52695520121488
G00296,N0116,N0123,SPATIAL,0.218895435333252,11.1803398874989,0.0691149234771729,1.51025056947608
G00297,N0117,N0114,SPATIAL,0.468850404024124,4.12310562561766,0.0251326560974121,0.756264236902052
G00298,N0117,N0130,SPATIAL,0.0479543507099152,4.12310562561766,0.00628328276798129,3.03644646924829
G00299,N0117,N0124,SPATIAL,0.217743769288063,5.3851648071345,0.031415943056345,1.52239939255885
G00300,N0117,N0121,SPATIAL,0.464638084173203,6.08276253029822,0.0376990474760532,0.763857251328776
G00301,N0118,N0122,SPATIAL,0.467964321374893,1,0,0.75930144267274
G00302,N0118,N0125,SPATIAL,0.218963593244553,2,0,1.51860288534548
G00303,N0119,N0123,SPATIAL,0.468541353940964,2.23606797749979,0.0125663289800286,0.757782839787396
G00304,N0120,N0097,SPATIAL,0.010502528399229,7.21110255092798,0.0251326560974121,4.55277145026576
G00305,N0121,N0124,SPATIAL,0.468286275863647,1.4142135623731,0.00628310814499855,0.75854214123007
G00306,N0121,N0127,SPATIAL,0.218963593244553,2,0,1.51860288534548
G00307,N0122,N0125,SPATIAL,0.467964321374893,1,0,0.75930144267274
G00308,N0124,N0127,SPATIAL,0.467575669288635,1.4142135623731,0.00628310814499855,0.760060744115414
G00309,N0124,N0114,SPATIAL,0.102356769144535,3.16227766016838,0.00628328276798129,2.2786636294609
G00310,N0124,N0133,SPATIAL,0.102356769144535,3.16227766016838,0.00628310814499855,2.27866362946089
G00311,N0125,N0115,SPATIAL,0.102441854774952,3,0,2.27790432801822
G00312,N0125,N0111,SPATIAL,0.0479213856160641,4,0,3.03720577069096
G00313,N0126,N0132,SPATIAL,0.219403401017189,5.3851648071345,0.0314157009124756,1.51480637813212
G00314,N0126,N0123,SPATIAL,0.468448549509048,9.05538513813742,0.0565488338470459,0.752467729688689
G00315,N0126,N0112,SPATIAL,0.0479709692299366,9.8488578017961,0.0565488338470459,3.03037205770691
G00316,N0126,N0108,SPATIAL,0.0224376190453768,10.295630140987,0.0565488338470459,3.78967350037965
G00317,N0127,N0133,SPATIAL,0.218963593244553,2,0,1.51860288534548
G00318,N0127,N0114,SPATIAL,0.0478349663317204,4.47213595499958,0.0125663923099637,3.03872437357631
G00319,N0128,N0234,SPATIAL,0.459839552640915,26,1.61194014549255,NaN
G00320,N0128,N0131,SPATIAL,0.419803529977798,34.0147027033899,0.213628426194191,0.785117691723617
G00321,N0128,N0036,SPATIAL,5.42622058397058e-10,37.5366487582469,0.157079696655273,21.2414578587699
G00322,N0128,N0099,SPATIAL,0.00212723948061466,38.8329756778952,0.238761082291603,6.04555808656036
G00323,N0129,N0134,SPATIAL,0.218568727374077,2.82842712474619,0.0125665673986077,1.52012148823083
G00324,N0129,N0231,SPATIAL,0.967755377292633,5,0.352536499500275,NaN
G00325,N0129,N0233,SPATIAL,0.945967435836792,23.0217288664427,0.301624566316605,NaN
G00326,N0130,N0124,SPATIAL,0.219397202134132,6.32455532033676,0.0376992225646973,1.51404707668944
G00327,N0130,N0114,SPATIAL,0.0224594473838806,7.07106781186548,0.031415943056345,3.79271070615034
G00328,N0130,N0127,SPATIAL,0.468810617923737,7.07106781186548,0.0439823307096958,0.75398633257403
G00329,N0131,N0125,SPATIAL,0.219403401017189,5.3851648071345,0.0314158201217651,1.51480637813212
G00330,N0131,N0122,SPATIAL,0.102647617459297,5.8309518948453,0.0314158201217651,2.27410782080486
G00331,N0131,N0118,SPATIAL,0.0480176396667957,6.40312423743285,0.0314158201217651,3.0334092634776
G00332,N0131,N0115,SPATIAL,0.0224594492465258,7.07106781186548,0.0314158201217651,3.79271070615034
G00333,N0132,N0123,SPATIAL,0.102093771100044,14.3178210632764,0.0879645347595215,2.26727410782081
G00334,N0132,N0112,SPATIAL,0.0104470616206527,15.2315462117278,0.0879645347595215,4.54517843583903
G00335,N0132,N0108,SPATIAL,0.00488523207604885,15.6524758424985,0.0879645347595215,5.30447987851177
G00336,N0133,N0121,SPATIAL,0.0479213856160641,4,0,3.03720577069096
G00337,N0133,N0114,SPATIAL,0.0104637769982219,6.32455532033676,0.0125663923099637,4.55732725892179
G00338,N0134,N0231,SPATIAL,0.968209564685822,7.28010988928052,0.33996993303299,NaN
G00339,N0134,N0233,SPATIAL,0.952899575233459,21.0237960416286,0.289058059453964,NaN
G00340,N0136,N0218,SPATIAL,0.941432654857635,18.0277563773199,0.400104761123657,NaN
G00341,N0136,N0176,SPATIAL,0.601499974727631,26.2488094968134,1.31267118453979,NaN
G00342,N0136,N0225,SPATIAL,0.467640578746796,101.400197238467,0.700761079788208,NaN
G00343,N0136,N0159,SPATIAL,0.399247795343399,121.400164744534,0.183392032980919,NaN
G00344,N0137,N0263,SPATIAL,0.937588201048573,32.310988842807,NaN,NaN
G00345,N0137,N0168,SPATIAL,0.710575461387634,64.7765389628066,0.571086883544922,NaN
G00346,N0137,N0235,SPATIAL,0.333618849515915,104.957134107215,1.24818348884583,NaN
G00347,N0137,N0255,SPATIAL,0.471114402825269,110.421918114114,NaN,NaN
G00348,N0138,N0206,SPATIAL,0.96308308839798,20.8086520466848,0.208494186401367,NaN
G00349,N0138,N0156,SPATIAL,0.609687685966492,38.0131556174964,1.23116564750671,NaN
G00350,N0138,N0161,SPATIAL,0.692903637886047,51.2640224719052,0.889400482177734,NaN
